No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,경기도 고양시 일산동구 대산로 56,강선3단지 한신아파트,8610.36,1397.5,538,19940000
,경기도 고양시 일산동구 백석로 26,흰돌3단지 국제한진아파트,13004.48,1840.18,816,19940000
,경기도 고양시 일산동구 일산로 11,흰돌5단지 서안아파트,8904.39,1749.23,628,19940000
,경기도 고양시 일산서구 강선로 164,후곡14단지 청구아파트,9891.45,1870.14,446,19940000
,경기도 고양시 일산서구 강선로 169,후곡15단지 건영아파트,10855.21,1872.31,767,19940000
,경기도 고양시 일산서구 킨텍스로 284,문촌19단지 신우아파트,13458.83,2417.53,658,19940000
,경기도 고양시 일산서구 대산로 141,문촌4단지 삼익아파트,12319.31,1744.2,540,19940000
,경기도 고양시 일산서구 대산로 142,문촌3단지 우성아파트,11353.43,2043.62,504,19940000
,경기도 고양시 일산서구 대산로 161,문촌5단지 쌍용한일아파트,10458.33,1515.6,432,19940000
,경기도 고양시 일산서구 대산로 183,문촌6단지 가산쌍용아파트,9938.64,1406.96,624,19940000
,경기도 고양시 일산서구 대산로 184,문촌1단지 우성아파트,14239.58,2195.27,892,19940000
,경기도 고양시 일산서구 대산로 263,성저4단지 삼익아파트,7332.9,1266,460,19940000
,경기도 고양시 일산서구 일산로 488,후곡13단지 태영아파트,6721.85,1186.34,420,19940000
,경기도 고양시 일산서구 일산로 614,후곡6단지 건영동부아파트,10782.91,1793.16,676,19940000
,경기도 고양시 일산서구 일현로 122,탄현8단지 동성아파트,11145.65,2247.21,652,19940000
,경기도 고양시 일산서구 주엽로 98,문촌17단지 신안아파트,12171.36,1750.46,504,19940000
,경기도 고양시 일산서구 주엽로 161,문촌8단지 동아아파트,10479.81,1566.9,738,19940000
,경기도 고양시 일산서구 탄현로 80,탄현9단지 일신아파트,4076.33,795.93,416,19940000
,경기도 고양시 일산서구 현중로 33,탄현2단지 삼익아파트,4060.7,840.38,390,19940000
,경기도 고양시 일산서구 현중로 64,탄현6단지 현대한신아파트,12787.17,2382.07,968,19940000
,경기도 고양시 일산서구 홀트로 27,탄현4단지 건영아파트,6886,1335.29,642,19940000
,경기도 고양시 일산서구 후곡로 58,후곡3단지 현대아파트,12221,2001.81,530,19940000
,경기도 고양시 일산동구 강석로 114,강촌라이프아파트,23212.91,3384.89,1558,19930000
,경기도 고양시 일산동구 강선로 30,강선15단지 보성아파트,6870.29,1344.64,604,19930000
,경기도 고양시 일산동구 강선로 70,강선8단지 럭키롯데아파트,13676.12,2086.71,966,19930000
,경기도 고양시 일산동구 강성로 62,강선9단지 화성아파트,13310.92,2100.38,860,19930000
,경기도 고양시 일산동구 강촌로 119,백송대림아파트,10883.34,1802.44,862,19930000
,경기도 고양시 일산동구 강촌로 146,백송삼부아파트,4152.11,622.01,222,19930000
,경기도 고양시 일산동구 대산로 53,강선4단지 동신아파트,9458.84,1621.14,624,19930000
,경기도 고양시 일산서구 주화로 7,강선16단지 동문아파트,6217.53,1063.87,390,19930000
,경기도 고양시 일산동구 강송로 196,강촌동아아파트,14716.02,2271.4,720,19920000
,경기도 고양시 일산동구 강촌로 114,백송풍림삼호아파트,12677.47,2039.99,786,19920000
,경기도 고양시 일산동구 일산로 205-1,백마2단지 극동삼환아파트,18394.72,2697.78,806,19920000
